uid,iid
0,5518
1,2370
1,3144
1,1059
1,3469
1,3162
1,4745
1,1759
1,3373
1,4663
1,3472
1,1564
1,750
1,4253
1,501
1,5285
1,1140
1,412
1,3624
1,1310
1,1935
1,1080
1,2430
1,5131
1,3874
1,2991
1,2580
1,3746
1,3675
1,4249
1,860
1,2554
1,3143
1,4605
1,2997
1,3132
1,4679
1,1843
1,582
1,5347
1,2719
1,2084
1,3446
1,1851
1,1527
1,2277
1,5015
1,1787
1,3930
1,2676
1,3431
1,4818
1,4749
1,4910
1,642
1,3940
1,1646
1,709
1,599
1,3253
1,197
1,5675
1,4532
1,4754
1,4044
1,2487
1,1245
1,4876
1,4871
1,3284
1,1521
2,3042
2,893
2,379
2,244
2,3535
2,3793
2,872
2,2797
2,558
2,884
2,247
2,5615
2,3431
2,3389
2,5179
2,2533
2,1285
2,2106
2,552
2,720
2,1430
2,2142
2,4924
2,4902
2,4382
2,114
2,1234
2,116
2,2846
2,1177
2,2772
2,3272
2,272
2,2712
2,2911
2,3234
2,5256
2,3507
2,1426
2,4298
2,5675
2,2104
2,5705
2,949
2,2287
2,1233
2,1457
2,1774
2,919
2,387
2,5443
2,2905
2,4179
2,1318
2,2258
2,3675
2,1427
2,5555
2,3518
2,1287
2,625
2,2320
2,5012
2,1350
2,3562
2,161
2,425
2,5454
2,4076
2,298
2,2109
2,2437
2,33
2,361
2,4608
2,3045
2,607
2,1448
2,758
2,3447
2,1374
2,4894
2,4864
2,4466
2,265
2,1783
2,1481
2,750
2,5719
2,5283
2,3888
2,3099
2,3957
2,1580
2,5708
2,4307
2,1270
2,1229
2,5509
2,2840
2,2153
2,1494
2,3661
2,1851
2,3738
2,3514
2,2022
2,1743
2,4197
2,2965
2,5784
2,779
2,1367
2,1787
2,2055
2,5009
2,5488
2,2397
2,4064
2,2817
2,608
2,135
2,35
2,1174
2,3776
2,2371
2,1436
2,3947
2,5255
2,4469
2,4918
2,2530
2,3628
2,1918
2,5567
2,4294
2,936
2,1721
2,4544
2,1200
2,4456
2,3896
2,858
2,5226
2,372
2,1108
2,1711
2,5714
3,2719
3,4744
3,4884
3,315
3,4679
3,1527
3,1706
3,4437
3,956
3,5311
3,3028
3,4354
3,5684
3,4425
3,4835
3,2617
3,2968
3,3469
3,582
3,4745
3,2762
3,2491
3,3431
3,3048
3,3005
3,4468
3,2899
3,506
3,4202
3,4220
3,3407
3,5607
3,3675
3,5384
3,3376
3,4701
3,1310
3,154
3,2003
3,5824
3,1998
3,4341
3,5664
3,1136
3,1935
3,3573
3,2277
3,5449
3,4749
3,973
3,3373
3,853
3,441
3,4044
3,4322
3,1445
3,3884
3,2581
3,2930
3,2804
3,3472
3,5688
3,80
3,3561
3,1736
3,4491
3,3930
3,3874
3,3624
3,5625
3,3746
3,2053
3,3020
3,4769
3,4067
3,5392
3,454
3,718
3,1125
3,5223
3,3519
3,5285
3,5406
3,860
3,3741
3,4290
3,1843
3,3765
3,1976
3,3723
3,4162
3,3706
3,3284
3,3888
3,5131
3,3651
3,3448
3,750
3,1521
3,3143
3,3845
3,4605
3,3562
3,3253
3,4020
3,4818
3,4444
3,5267
3,288
3,1141
3,3524
3,4145
3,4871
3,4616
3,3833
3,4876
3,2643
3,2249
3,3473
3,2853
3,4069
3,5555
3,4253
3,50
3,1556
3,2745
