uid,iid
1,3376
2,1300
3,5052
4,4730
5,567
6,1039
7,2603
8,4247
9,3280
10,5280
11,2941
12,3028
13,5690
14,3005
15,545
16,1293
17,3373
18,2778
19,1287
21,4044
22,276
23,3195
24,139
25,1827
26,1569
27,4882
28,358
29,2894
30,109
31,5015
33,3746
34,4657
35,379
36,3343
37,3515
38,3162
39,4516
40,1383
41,4044
42,1842
44,3933
45,2432
46,4745
47,1983
48,2850
49,5279
51,4170
52,1281
53,4168
54,4761
55,4342
57,1219
58,3348
59,2124
60,3796
61,445
62,588
63,3301
64,1281
65,2694
66,3415
67,4749
68,802
69,1408
70,5337
71,307
72,3370
73,3885
74,4481
75,4390
76,1113
77,4228
78,4294
79,986
80,661
81,4752
82,788
83,2817
84,2758
85,759
86,3305
87,387
89,4389
90,2382
91,5008
93,3751
94,4532
95,4667
96,2420
97,2811
98,846
99,2033
100,3336
101,4045
102,2371
103,1935
104,4659
105,2844
106,139
107,807
108,2123
109,2526
110,3983
111,248
112,2591
113,865
114,2184
115,5049
116,2354
117,5451
118,2650
119,3370
120,4439
121,588
122,2142
123,2821
125,4072
126,2968
127,3916
128,4924
129,3562
130,5477
131,3070
132,915
133,5566
134,5318
135,4535
136,4205
137,1516
139,388
141,3815
142,392
143,5561
144,288
145,5624
146,5285
147,5129
148,3253
149,1400
150,3280
153,4554
155,5016
156,286
157,461
159,2245
161,5409
163,4335
164,3185
165,4759
167,5289
168,4260
169,3746
170,5726
171,1635
173,225
174,276
175,1982
176,5812
177,3202
178,3582
179,680
180,4828
181,5044
182,5190
183,1339
184,22
185,2997
