uid,iid
72,0
65,1
66,1
76,1
89,1
90,1
98,1
133,1
155,1
66,2
73,2
79,2
87,2
90,2
66,3
90,3
114,4
170,4
19,5
117,5
101,6
134,6
153,6
49,7
110,7
116,7
117,7
117,8
146,8
173,8
49,9
110,9
116,9
117,9
173,9
82,10
31,11
108,11
117,12
117,13
117,14
157,14
66,15
68,15
90,15
117,16
139,16
48,17
63,17
80,17
117,17
117,18
60,19
61,19
25,20
27,20
30,20
41,20
59,20
65,20
117,20
149,20
27,21
65,21
117,21
135,22
184,22
114,23
110,24
117,24
28,25
87,25
11,26
30,26
65,26
134,26
139,26
117,27
65,28
78,28
108,28
115,28
175,28
117,29
173,30
117,31
52,32
2,33
11,33
65,33
78,33
89,33
106,33
108,33
115,33
130,33
175,33
117,34
2,35
11,35
17,35
73,35
130,35
117,36
65,37
76,37
89,37
133,37
183,37
12,38
29,38
49,38
65,38
110,38
116,38
117,38
12,39
101,39
106,39
4,40
53,40
60,40
61,40
69,40
74,40
91,40
136,40
117,41
117,42
48,43
12,44
114,44
117,44
28,45
110,45
117,45
66,46
90,46
17,47
28,47
73,47
117,48
17,49
117,49
3,50
33,50
94,50
97,50
144,50
136,51
28,52
28,53
35,53
73,53
76,53
98,53
104,53
155,53
44,54
117,54
139,54
12,55
17,55
28,55
65,55
79,55
110,55
156,56
11,57
17,57
19,57
77,57
134,57
130,58
48,59
117,59
12,60
110,60
73,61
130,61
96,62
52,63
28,64
87,64
117,65
28,66
78,66
130,66
28,67
48,68
28,69
65,70
82,70
52,71
27,72
65,72
80,72
110,72
117,72
139,72
27,73
65,73
110,73
117,73
52,74
65,74
117,75
72,76
102,76
119,76
155,76
175,76
52,77
12,78
35,78
36,78
37,78
65,78
67,78
76,78
103,78
110,78
130,78
66,79
90,79
106,79
3,80
8,80
11,80
12,80
14,80
21,80
33,80
66,80
90,80
94,80
97,80
116,80
117,80
121,80
134,80
144,80
146,80
178,80
11,81
48,81
130,81
117,82
12,83
15,83
17,83
28,83
77,83
79,83
97,83
117,83
130,83
133,83
164,83
4,84
11,85
28,85
35,85
48,85
65,85
67,85
76,85
80,85
103,85
130,85
12,86
19,86
48,86
52,86
63,86
65,86
67,86
80,86
108,86
110,86
130,86
133,86
11,87
30,87
65,87
72,87
117,87
120,87
134,87
143,87
165,87
175,87
66,88
90,88
106,88
12,89
19,89
25,89
30,89
48,89
49,89
63,89
65,89
81,89
116,89
117,89
120,89
127,89
143,89
159,89
165,89
170,89
175,89
6,90
17,90
19,90
29,90
30,90
38,90
49,90
55,90
59,90
65,90
70,90
73,90
77,90
80,90
81,90
108,90
116,90
117,90
125,90
126,90
127,90
130,90
134,90
143,90
148,90
159,90
167,90
170,90
175,90
52,91
78,92
110,92
155,92
156,92
12,93
11,94
52,94
72,94
104,94
130,94
65,95
12,96
117,96
126,96
163,96
12,97
91,97
117,97
126,97
168,97
170,97
182,97
12,98
110,98
117,98
182,98
27,99
65,99
117,99
48,100
19,101
30,101
49,101
65,101
116,101
143,101
175,101
87,102
108,102
117,103
117,104
19,105
27,105
30,105
49,105
65,105
110,105
116,105
117,105
143,105
175,105
146,106
60,107
117,107
139,107
170,107
11,108
19,108
89,108
104,108
106,108
115,108
130,108
19,109
27,109
30,109
49,109
52,109
65,109
110,109
116,109
117,109
143,109
175,109
110,110
117,110
139,110
173,110
4,111
143,111
80,112
108,112
130,112
133,112
156,112
6,113
11,113
12,113
19,113
25,113
27,113
28,113
30,113
38,113
41,113
59,113
65,113
77,113
78,113
113,113
116,113
117,113
126,113
134,113
143,113
146,113
149,113
159,113
167,113
175,113
178,113
2,114
24,114
117,114
142,114
99,115
2,116
5,116
11,116
12,116
15,116
17,116
19,116
28,116
29,116
30,116
49,116
55,116
65,116
73,116
76,116
77,116
79,116
97,116
106,116
110,116
116,116
117,116
125,116
126,116
127,116
130,116
134,116
143,116
164,116
175,116
178,116
117,117
117,118
73,119
91,120
8,121
11,121
27,121
30,121
36,121
37,121
65,121
69,121
80,121
110,121
117,121
120,121
134,121
143,121
145,121
165,121
175,121
4,122
53,122
74,122
91,122
136,122
117,123
117,124
5,125
48,125
73,125
117,125
178,125
117,126
11,127
12,127
19,127
30,127
49,127
65,127
116,127
117,127
126,127
134,127
143,127
159,127
175,127
11,128
48,128
59,128
66,128
72,128
73,128
76,128
83,128
90,128
98,128
117,128
119,128
134,128
155,128
110,129
11,130
52,130
98,130
130,130
91,131
143,131
96,132
54,133
117,133
117,134
170,134
2,135
12,135
19,135
25,135
30,135
49,135
65,135
73,135
81,135
116,135
117,135
127,135
143,135
159,135
170,135
175,135
19,136
30,136
36,136
37,136
65,136
80,136
117,136
120,136
143,136
165,136
175,136
28,137
66,137
90,137
98,137
106,137
117,137
5,138
10,138
48,138
73,138
109,138
178,138
7,139
11,139
19,139
24,139
27,139
28,139
36,139
52,139
65,139
68,139
72,139
78,139
85,139
106,139
110,139
115,139
125,139
127,139
130,139
134,139
142,139
155,139
110,140
117,140
6,141
30,141
38,141
59,141
116,141
117,141
126,141
167,141
175,141
53,142
66,143
90,143
98,143
117,143
12,144
89,145
117,146
117,147
65,148
72,148
117,149
65,150
72,150
4,151
8,151
53,151
60,151
74,151
91,151
95,151
114,151
117,151
136,151
170,151
134,152
178,152
54,153
3,154
11,154
12,154
14,154
15,154
17,154
28,154
33,154
36,154
37,154
41,154
59,154
66,154
73,154
76,154
77,154
78,154
79,154
87,154
90,154
94,154
97,154
106,154
116,154
121,154
125,154
126,154
127,154
130,154
133,154
134,154
144,154
149,154
164,154
178,154
117,155
117,156
117,157
135,158
184,158
117,159
182,160
2,161
35,161
65,161
67,161
76,161
78,161
80,161
103,161
108,161
110,161
115,161
175,161
100,162
117,163
117,164
117,165
117,166
134,167
178,167
117,168
117,169
117,170
99,171
117,172
117,173
117,174
117,175
100,176
65,177
117,177
117,178
117,179
117,180
117,181
117,182
117,183
117,184
12,185
126,185
117,186
117,187
117,188
117,189
117,190
117,191
117,192
117,193
117,194
117,195
117,196
1,197
153,197
117,198
117,199
117,200
117,201
117,202
12,203
101,203
12,204
117,205
117,206
139,207
117,208
117,209
175,209
99,210
122,211
11,212
12,212
27,212
30,212
49,212
65,212
110,212
116,212
117,212
134,212
117,213
117,214
100,215
117,216
117,217
91,218
11,219
27,219
30,219
48,219
63,219
65,219
110,219
117,219
120,219
134,219
143,219
165,219
175,219
161,220
165,220
170,220
182,221
117,222
117,223
117,224
27,225
49,225
65,225
66,225
89,225
90,225
110,225
116,225
117,225
173,225
72,226
117,226
48,227
130,227
99,228
8,229
136,229
12,230
66,230
72,230
79,230
90,230
104,230
36,231
37,231
65,231
80,231
117,231
130,231
4,232
25,232
40,232
53,232
60,232
81,232
91,232
117,232
120,232
127,232
139,232
145,232
170,232
91,233
163,233
28,234
130,234
17,235
19,235
65,235
67,235
80,235
110,235
117,235
130,235
133,235
143,235
156,235
117,236
11,237
27,237
65,237
110,237
134,237
5,238
52,238
65,238
66,238
73,238
76,238
79,238
80,238
90,238
110,238
