uid,iid
117,4669
66,4670
90,4670
117,4670
11,4671
12,4671
15,4671
17,4671
19,4671
28,4671
36,4671
39,4671
48,4671
52,4671
63,4671
65,4671
77,4671
78,4671
79,4671
85,4671
97,4671
104,4671
110,4671
117,4671
125,4671
127,4671
130,4671
164,4671
175,4671
117,4672
17,4673
19,4673
28,4673
36,4673
39,4673
52,4673
73,4673
78,4673
85,4673
107,4673
108,4673
125,4673
127,4673
130,4673
175,4673
177,4673
117,4674
69,4675
74,4675
91,4675
95,4675
114,4675
136,4675
170,4675
182,4675
117,4676
117,4677
117,4678
1,4679
3,4679
11,4679
12,4679
14,4679
33,4679
67,4679
91,4679
94,4679
97,4679
116,4679
117,4679
121,4679
125,4679
127,4679
134,4679
139,4679
143,4679
144,4679
165,4679
178,4679
117,4680
69,4681
74,4681
91,4681
114,4681
136,4681
143,4681
163,4681
170,4681
182,4681
117,4682
12,4683
19,4683
65,4683
126,4683
71,4684
60,4685
61,4685
136,4685
182,4685
4,4686
53,4686
60,4686
61,4686
69,4686
74,4686
91,4686
96,4686
114,4686
120,4686
136,4686
143,4686
170,4686
182,4686
99,4687
8,4688
12,4688
53,4688
60,4688
91,4688
96,4688
136,4688
143,4688
165,4688
173,4688
182,4688
117,4689
82,4690
117,4691
19,4692
28,4692
35,4692
67,4692
68,4692
73,4692
76,4692
77,4692
103,4692
104,4692
130,4692
156,4692
4,4693
53,4693
74,4693
117,4693
136,4693
117,4694
69,4695
4,4696
8,4696
53,4696
74,4696
91,4696
136,4696
170,4697
117,4698
73,4699
117,4700
3,4701
11,4701
12,4701
14,4701
21,4701
25,4701
33,4701
38,4701
41,4701
59,4701
62,4701
67,4701
73,4701
93,4701
94,4701
97,4701
116,4701
117,4701
121,4701
126,4701
133,4701
134,4701
143,4701
144,4701
149,4701
175,4701
178,4701
179,4701
181,4702
100,4703
117,4704
82,4705
117,4705
28,4706
78,4706
117,4706
12,4707
19,4707
25,4707
30,4707
49,4707
65,4707
81,4707
116,4707
117,4707
127,4707
143,4707
159,4707
170,4707
175,4707
19,4708
30,4708
117,4708
118,4708
117,4709
117,4710
4,4711
57,4711
96,4711
11,4712
75,4712
81,4712
117,4712
120,4712
126,4712
134,4712
170,4712
12,4713
117,4713
66,4714
90,4714
182,4715
117,4716
117,4717
53,4718
60,4718
74,4718
91,4718
114,4718
117,4718
136,4718
143,4718
170,4718
182,4718
8,4719
44,4719
136,4719
170,4719
11,4720
15,4720
17,4720
62,4720
73,4720
77,4720
79,4720
97,4720
129,4720
130,4720
133,4720
164,4720
117,4721
11,4722
15,4722
17,4722
19,4722
27,4722
30,4722
41,4722
59,4722
65,4722
67,4722
77,4722
78,4722
79,4722
80,4722
91,4722
97,4722
110,4722
116,4722
117,4722
125,4722
126,4722
127,4722
130,4722
133,4722
134,4722
164,4722
170,4722
175,4722
178,4722
15,4723
17,4723
77,4723
79,4723
97,4723
130,4723
164,4723
12,4724
28,4725
30,4725
65,4725
116,4725
117,4725
125,4725
127,4725
134,4725
170,4725
175,4725
182,4726
11,4727
30,4727
75,4727
78,4727
81,4727
95,4727
116,4727
117,4727
120,4727
125,4727
126,4727
127,4727
134,4727
136,4727
170,4727
175,4727
110,4728
119,4728
130,4728
178,4728
117,4729
4,4730
18,4730
53,4730
60,4730
61,4730
69,4730
74,4730
91,4730
95,4730
112,4730
114,4730
117,4730
136,4730
143,4730
145,4730
170,4730
182,4730
117,4731
69,4732
74,4732
91,4732
95,4732
136,4732
11,4733
48,4733
66,4733
72,4733
87,4733
89,4733
90,4733
98,4733
130,4733
117,4734
117,4735
11,4736
50,4736
52,4736
65,4736
66,4736
76,4736
79,4736
87,4736
89,4736
90,4736
104,4736
110,4736
130,4736
156,4736
10,4737
13,4737
19,4737
28,4737
31,4737
36,4737
39,4737
73,4737
78,4737
81,4737
93,4737
109,4737
119,4737
125,4737
127,4737
130,4737
148,4737
175,4737
48,4738
59,4738
67,4738
72,4738
73,4738
98,4738
117,4738
11,4739
12,4739
19,4739
30,4739
49,4739
65,4739
116,4739
117,4739
126,4739
134,4739
143,4739
175,4739
117,4740
7,4741
15,4741
17,4741
19,4741
24,4741
28,4741
30,4741
36,4741
39,4741
68,4741
76,4741
77,4741
78,4741
79,4741
97,4741
106,4741
115,4741
118,4741
125,4741
127,4741
130,4741
143,4741
164,4741
175,4741
117,4742
110,4743
119,4743
130,4743
178,4743
3,4744
11,4744
12,4744
14,4744
33,4744
94,4744
97,4744
101,4744
117,4744
121,4744
134,4744
144,4744
178,4744
1,4745
3,4745
8,4745
11,4745
12,4745
19,4745
21,4745
25,4745
29,4745
30,4745
33,4745
39,4745
46,4745
49,4745
59,4745
62,4745
65,4745
67,4745
81,4745
94,4745
97,4745
110,4745
116,4745
117,4745
125,4745
127,4745
134,4745
143,4745
144,4745
146,4745
149,4745
156,4745
159,4745
170,4745
173,4745
175,4745
4,4746
53,4746
136,4746
65,4747
82,4748
1,4749
3,4749
11,4749
12,4749
14,4749
27,4749
30,4749
33,4749
36,4749
37,4749
48,4749
63,4749
65,4749
67,4749
94,4749
97,4749
110,4749
116,4749
117,4749
120,4749
121,4749
125,4749
127,4749
134,4749
143,4749
144,4749
165,4749
175,4749
178,4749
10,4750
13,4750
28,4750
31,4750
36,4750
37,4750
39,4750
45,4750
48,4750
62,4750
73,4750
78,4750
89,4750
109,4750
119,4750
125,4750
127,4750
129,4750
130,4750
175,4750
52,4751
68,4751
73,4751
130,4751
11,4752
12,4752
19,4752
25,4752
29,4752
30,4752
36,4752
37,4752
39,4752
48,4752
49,4752
63,4752
65,4752
81,4752
101,4752
105,4752
116,4752
117,4752
120,4752
126,4752
127,4752
134,4752
143,4752
159,4752
165,4752
170,4752
175,4752
19,4753
28,4753
31,4753
39,4753
64,4753
108,4753
1,4754
11,4754
17,4754
19,4754
35,4754
65,4754
76,4754
77,4754
110,4754
133,4754
134,4754
100,4755
4,4756
18,4756
22,4756
53,4756
57,4756
74,4756
91,4756
114,4756
126,4756
136,4756
143,4756
145,4756
161,4756
165,4756
170,4756
174,4756
182,4756
99,4757
15,4758
17,4758
55,4758
73,4758
77,4758
78,4758
79,4758
81,4758
97,4758
130,4758
164,4758
4,4759
8,4759
22,4759
53,4759
60,4759
61,4759
91,4759
95,4759
114,4759
117,4759
120,4759
136,4759
143,4759
165,4759
170,4759
173,4759
4,4760
8,4760
53,4760
60,4760
61,4760
132,4760
136,4760
165,4760
170,4760
182,4760
54,4761
179,4762
4,4763
91,4763
143,4763
78,4764
117,4764
19,4765
30,4765
49,4765
65,4765
116,4765
117,4765
143,4765
175,4765
117,4766
117,4767
117,4768
3,4769
11,4769
12,4769
14,4769
33,4769
65,4769
94,4769
97,4769
117,4769
121,4769
134,4769
144,4769
178,4769
11,4770
17,4770
39,4770
47,4770
55,4770
73,4770
79,4770
81,4770
148,4770
183,4770
28,4771
36,4771
39,4771
78,4771
115,4771
125,4771
127,4771
130,4771
175,4771
177,4771
136,4772
170,4773
182,4773
143,4774
170,4774
117,4775
117,4776
4,4777
18,4777
53,4777
69,4777
74,4777
91,4777
95,4777
112,4777
117,4777
136,4777
143,4777
145,4777
182,4777
4,4778
60,4778
69,4778
91,4778
117,4778
136,4778
145,4778
117,4779
117,4780
117,4781
133,4781
9,4782
150,4782
117,4783
69,4784
91,4784
117,4784
65,4785
12,4786
117,4786
126,4786
27,4787
65,4787
110,4787
117,4787
117,4788
117,4789
99,4790
117,4791
49,4792
108,4792
4,4793
53,4793
60,4793
69,4793
91,4793
100,4793
4,4794
53,4794
170,4794
182,4794
100,4795
12,4796
22,4796
53,4796
69,4796
74,4796
91,4796
95,4796
117,4796
126,4796
136,4796
163,4796
174,4796
182,4796
28,4797
78,4797
108,4797
115,4797
117,4797
175,4797
117,4798
11,4799
65,4800
27,4801
150,4801
117,4802
117,4803
53,4804
60,4804
74,4804
91,4804
100,4804
114,4804
136,4804
143,4804
170,4804
182,4804
4,4805
11,4805
19,4805
60,4805
114,4805
117,4805
120,4805
134,4805
165,4805
170,4805
175,4805
182,4805
72,4806
117,4806
19,4807
117,4807
130,4807
178,4807
11,4808
67,4808
73,4808
101,4808
130,4808
133,4808
134,4808
117,4809
4,4810
69,4810
117,4811
117,4812
12,4813
101,4813
12,4814
117,4815
130,4815
4,4816
12,4816
53,4816
74,4816
91,4816
126,4816
136,4816
178,4816
117,4817
1,4818
3,4818
6,4818
11,4818
12,4818
14,4818
19,4818
25,4818
27,4818
30,4818
33,4818
38,4818
39,4818
41,4818
46,4818
49,4818
59,4818
62,4818
65,4818
67,4818
73,4818
78,4818
81,4818
91,4818
94,4818
97,4818
101,4818
116,4818
117,4818
121,4818
125,4818
126,4818
127,4818
134,4818
143,4818
144,4818
146,4818
149,4818
156,4818
159,4818
167,4818
170,4818
175,4818
178,4818
11,4819
19,4819
36,4819
37,4819
48,4819
66,4819
90,4819
98,4819
130,4819
134,4819
12,4820
3,4821
11,4821
12,4821
14,4821
33,4821
94,4821
97,4821
117,4821
121,4821
130,4821
134,4821
141,4821
143,4821
144,4821
178,4821
91,4822
117,4823
117,4824
117,4825
114,4826
117,4826
143,4826
168,4826
36,4827
37,4827
39,4827
47,4827
62,4827
28,4828
65,4828
68,4828
117,4828
180,4828
12,4829
117,4829
173,4829
117,4830
66,4831
90,4831
117,4831
91,4832
143,4832
117,4833
117,4834
136,4834
165,4834
3,4835
33,4835
36,4835
37,4835
94,4835
97,4835
143,4835
144,4835
117,4836
117,4837
117,4838
117,4839
12,4840
15,4841
55,4841
73,4841
77,4841
164,4841
60,4842
61,4842
69,4842
74,4842
91,4842
114,4842
136,4842
143,4842
170,4842
182,4842
52,4843
115,4843
130,4843
117,4844
117,4845
19,4846
130,4846
178,4846
4,4847
8,4847
53,4847
60,4847
61,4847
69,4847
91,4847
114,4847
117,4847
143,4847
170,4847
182,4847
12,4848
117,4848
117,4849
117,4850
12,4851
101,4851
11,4852
49,4852
53,4852
65,4852
69,4852
74,4852
75,4852
81,4852
117,4852
120,4852
126,4852
134,4852
163,4852
170,4852
8,4853
53,4853
60,4853
91,4853
96,4853
136,4853
143,4853
165,4853
182,4853
72,4854
12,4855
25,4855
49,4855
65,4855
101,4855
117,4855
126,4855
159,4855
11,4856
12,4856
19,4856
29,4856
30,4856
49,4856
59,4856
65,4856
101,4856
116,4856
117,4856
126,4856
133,4856
134,4856
143,4856
153,4856
175,4856
19,4857
31,4857
4,4858
11,4858
12,4858
19,4858
25,4858
29,4858
30,4858
49,4858
53,4858
60,4858
61,4858
65,4858
69,4858
74,4858
91,4858
95,4858
110,4858
114,4858
116,4858
126,4858
134,4858
136,4858
143,4858
170,4858
175,4858
182,4858
11,4859
48,4859
49,4859
73,4859
104,4859
108,4859
117,4859
130,4859
99,4860
120,4861
117,4862
117,4863
2,4864
7,4864
36,4864
39,4864
45,4864
68,4864
115,4864
125,4864
127,4864
74,4865
91,4865
114,4865
136,4865
143,4865
170,4865
182,4865
117,4866
100,4867
117,4868
117,4869
117,4870
1,4871
3,4871
11,4871
12,4871
14,4871
19,4871
24,4871
27,4871
30,4871
33,4871
39,4871
46,4871
65,4871
67,4871
81,4871
94,4871
97,4871
101,4871
116,4871
117,4871
121,4871
125,4871
127,4871
134,4871
136,4871
143,4871
144,4871
156,4871
161,4871
165,4871
170,4871
178,4871
74,4872
91,4872
114,4872
136,4872
143,4872
170,4872
182,4872
117,4873
24,4874
117,4874
117,4875
1,4876
3,4876
11,4876
12,4876
14,4876
33,4876
67,4876
94,4876
97,4876
116,4876
117,4876
121,4876
125,4876
127,4876
134,4876
143,4876
144,4876
178,4876
4,4877
8,4877
19,4877
30,4877
49,4877
60,4877
65,4877
91,4877
114,4877
116,4877
117,4877
136,4877
143,4877
175,4877
182,4877
65,4878
80,4878
53,4879
95,4879
136,4879
117,4880
66,4881
90,4881
23,4882
27,4882
38,4882
150,4882
130,4883
3,4884
11,4884
12,4884
14,4884
15,4884
17,4884
19,4884
28,4884
33,4884
77,4884
79,4884
94,4884
97,4884
121,4884
130,4884
134,4884
144,4884
156,4884
164,4884
178,4884
4,4885
53,4885
74,4885
91,4885
136,4885
143,4885
170,4885
182,4885
11,4886
27,4886
65,4886
110,4886
134,4886
117,4887
117,4888
12,4889
117,4889
123,4889
6,4890
12,4890
19,4890
30,4890
38,4890
59,4890
78,4890
116,4890
117,4890
126,4890
134,4890
167,4890
175,4890
9,4891
23,4891
27,4891
150,4891
166,4891
96,4892
117,4892
117,4893
2,4894
11,4894
17,4894
19,4894
35,4894
36,4894
65,4894
67,4894
73,4894
76,4894
98,4894
103,4894
104,4894
130,4894
133,4894
155,4894
117,4895
12,4896
79,4896
53,4897
74,4897
117,4897
15,4898
65,4898
80,4898
110,4898
130,4898
134,4898
164,4898
117,4899
4,4900
53,4900
74,4900
91,4900
114,4900
117,4900
136,4900
143,4900
170,4900
182,4900
6,4901
117,4901
2,4902
5,4902
12,4902
19,4902
65,4902
66,4902
76,4902
79,4902
90,4902
106,4902
185,4902
117,4903
117,4904
117,4905
157,4906
8,4907
60,4907
61,4907
136,4907
143,4907
173,4907
117,4908
117,4909
1,4910
15,4910
17,4910
35,4910
39,4910
77,4910
79,4910
80,4910
97,4910
108,4910
119,4910
130,4910
156,4910
164,4910
117,4911
117,4912
11,4913
12,4913
19,4913
24,4913
28,4913
30,4913
36,4913
37,4913
48,4913
52,4913
63,4913
65,4913
67,4913
77,4913
80,4913
89,4913
104,4913
108,4913
110,4913
113,4913
130,4913
133,4913
134,4913
156,4913
177,4913
180,4913
4,4914
53,4914
69,4914
74,4914
91,4914
95,4914
114,4914
136,4914
143,4914
170,4914
182,4914
177,4915
117,4916
117,4917
2,4918
11,4918
17,4918
19,4918
35,4918
36,4918
65,4918
67,4918
73,4918
76,4918
98,4918
103,4918
104,4918
130,4918
133,4918
155,4918
19,4919
117,4920
117,4921
117,4922
108,4923
117,4923
2,4924
11,4924
48,4924
72,4924
73,4924
76,4924
89,4924
98,4924
102,4924
128,4924
130,4924
133,4924
155,4924
175,4924
185,4924
19,4925
28,4925
31,4925
108,4925
117,4926
30,4927
49,4927
74,4927
91,4927
110,4927
114,4927
116,4927
117,4927
125,4927
127,4927
134,4927
136,4927
143,4927
145,4927
170,4927
175,4927
182,4927
117,4928
4,4929
8,4929
53,4929
60,4929
74,4929
91,4929
95,4929
136,4929
143,4929
182,4929
69,4930
117,4931
4,4932
8,4932
53,4932
69,4932
74,4932
91,4932
95,4932
112,4932
114,4932
136,4932
143,4932
170,4932
182,4932
15,4933
17,4933
35,4933
62,4933
67,4933
73,4933
76,4933
77,4933
79,4933
83,4933
97,4933
103,4933
129,4933
130,4933
133,4933
164,4933
149,4934
31,4935
39,4935
52,4935
64,4935
108,4935
115,4935
24,4936
66,4936
76,4936
90,4936
98,4936
115,4936
165,4937
117,4938
4,4939
53,4939
69,4939
74,4939
91,4939
95,4939
114,4939
136,4939
143,4939
145,4939
170,4939
182,4939
117,4940
11,4941
17,4941
19,4941
48,4941
63,4941
65,4941
67,4941
77,4941
80,4941
98,4941
110,4941
117,4941
119,4941
130,4941
133,4941
134,4941
175,4941
117,4942
4,4943
60,4943
117,4943
